"Infuse your life with action. Don&#39;t wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth.","Bradley Whitford"
"Good, better, best. Never let it rest. &#39;Til your good is better and your better is best.","St. Jerome"
"Life is 10% what happens to you and 90% how you react to it.","Charles R. Swindoll"
"Only I can change my life. No one can do it for me.","Carol Burnett"
"Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.","Helen Keller"
"Failure will never overtake me if my determination to succeed is strong enough.","Og Mandino"
"It does not matter how slowly you go as long as you do not stop.","Confucius"
"Change your life today. Don&#39;t gamble on the future, act now, without delay.","Simone de Beauvoir"
"The past cannot be changed. The future is yet in your power.","Unknown"
"With the new day comes new strength and new thoughts.","Eleanor Roosevelt"
"Either I will find a way, or I will make one.","Philip Sidney"
"Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.","Thomas A. Edison"
"Believe in yourself! Have faith in your abilities! Without a humble but reasonable confidence in your own powers you cannot be successful or happy.","Norman Vincent Peale"
"The will to win, the desire to succeed, the urge to reach your full potential... these are the keys that will unlock the door to personal excellence.","Confucius"
"Do the difficult things while they are easy and do the great things while they are small. A journey of a thousand miles must begin with a single step.","Lao Tzu"
"Set your goals high, and don&#39;t stop till you get there.","Bo Jackson"
"It always seems impossible until it&#39;s done.","Nelson Mandela"
"Do not wait; the time will never be &#39;just right.&#39; Start where you stand, and work with whatever tools you may have at your command, and better tools will be found as you go along.","George Herbert"
"Beginning today, treat everyone you meet as if they were going to be dead by midnight. Extend to them all the care, kindness and understanding you can muster, and do it with no thought of any reward. Your life will never be the same again.","Og Mandino"
"You can&#39;t cross the sea merely by standing and staring at the water.","Rabindranath Tagore"
"Consult not your fears but your hopes and your dreams. Think not about your frustrations, but about your unfulfilled potential. Concern yourself not with what you tried and failed in, but with what it is still possible for you to do.","Pope John XXIII"
"Keep your eyes on the stars, and your feet on the ground.","Theodore Roosevelt"
"A creative man is motivated by the desire to achieve, not by the desire to beat others.","Ayn Rand"
"Your talent is God&#39;s gift to you. What you do with it is your gift back to God.","Leo Buscaglia"
"Accept the challenges so that you can feel the exhilaration of victory.","George S. Patton"
"What you get by achieving your goals is not as important as what you become by achieving your goals.","Zig Ziglar"

